"you've won a free prize","phishing","correct","sklearn-v1"
"Lunch at 1pm?","safe","correct","sklearn-v1"
"Your PayPal account is suspended","safe","incorrect","sklearn-v1"
"Hi Alex, see you at the meeting","safe","correct","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"Your PayPal account is suspended","phishing","correct","sklearn-v2"
"This is your bank, please verify your account password","phishing","correct","sklearn-v2"
"Lunch at 1 pm?","phishing","incorrect","sklearn-v2"
"You have won a lottery! Click here","phishing","correct","sklearn-v2"
